 Teff  logg FeH   profile       filter     wave_min wave_eff wave_max   c1    e1    c2     e2 
------ ---- ---- --------- --------------- -------- -------- -------- ----- ----- ------ -----
4750.0  4.5 -0.5 quadratic Kepler/Kepler.K    0.422   0.4294    0.437 0.871 0.002 -0.041 0.003
4750.0  4.5 -0.5 quadratic Kepler/Kepler.K    0.438   0.4456    0.453 0.879 0.005 -0.014 0.007
4750.0  4.5 -0.5 quadratic Kepler/Kepler.K    0.454   0.4614    0.469 0.837 0.006  0.034 0.008
4750.0  4.5 -0.5 quadratic Kepler/Kepler.K     0.47   0.4775    0.485 0.816 0.006  0.042 0.007
4750.0  4.5 -0.5 quadratic Kepler/Kepler.K    0.486   0.4934    0.501 0.785 0.004  0.046 0.006
4750.0  4.5 -0.5 quadratic Kepler/Kepler.K    0.502   0.5093    0.517 0.816 0.005 -0.015 0.007
4750.0  4.5 -0.5 quadratic Kepler/Kepler.K    0.518   0.5254    0.533 0.727 0.002  0.053 0.003
4750.0  4.5 -0.5 quadratic Kepler/Kepler.K    0.534   0.5415    0.549 0.693 0.002  0.092 0.002
4750.0  4.5 -0.5 quadratic Kepler/Kepler.K     0.55   0.5576    0.565 0.664 0.001  0.112 0.001
4750.0  4.5 -0.5 quadratic Kepler/Kepler.K    0.566   0.5737    0.581 0.642 0.001  0.123 0.001
4750.0  4.5 -0.5 quadratic Kepler/Kepler.K    0.582   0.5894    0.597 0.623   0.0  0.128 0.001
4750.0  4.5 -0.5 quadratic Kepler/Kepler.K    0.598   0.6055    0.613 0.604 0.001  0.135 0.001
4750.0  4.5 -0.5 quadratic Kepler/Kepler.K    0.614   0.6216    0.629 0.584 0.001  0.138 0.002
4750.0  4.5 -0.5 quadratic Kepler/Kepler.K     0.63   0.6377    0.645 0.568 0.002  0.141 0.002
4750.0  4.5 -0.5 quadratic Kepler/Kepler.K    0.646   0.6533    0.661 0.543 0.002  0.151 0.003
4750.0  4.5 -0.5 quadratic Kepler/Kepler.K    0.662   0.6694    0.677 0.537 0.002  0.149 0.003
4750.0  4.5 -0.5 quadratic Kepler/Kepler.K    0.678   0.6855    0.693 0.524 0.003   0.15 0.003
4750.0  4.5 -0.5 quadratic Kepler/Kepler.K    0.694   0.7017    0.709 0.512 0.003  0.149 0.004
4750.0  4.5 -0.5 quadratic Kepler/Kepler.K     0.71   0.7173    0.725 0.498 0.003  0.151 0.004
4750.0  4.5 -0.5 quadratic Kepler/Kepler.K    0.726   0.7334    0.741 0.486 0.003  0.152 0.004
4750.0  4.5 -0.5 quadratic Kepler/Kepler.K    0.742   0.7495    0.757 0.473 0.004  0.154 0.005
4750.0  4.5 -0.5 quadratic Kepler/Kepler.K    0.758   0.7656    0.773 0.461 0.004  0.156 0.005
4750.0  4.5 -0.5 quadratic Kepler/Kepler.K    0.774   0.7817    0.789 0.452 0.004  0.157 0.005
4750.0  4.5 -0.5 quadratic Kepler/Kepler.K     0.79   0.7974    0.805 0.444 0.004  0.157 0.005
4750.0  4.5 -0.5 quadratic Kepler/Kepler.K    0.806   0.8135    0.821 0.434 0.004   0.16 0.006
4750.0  4.5 -0.5 quadratic Kepler/Kepler.K    0.822   0.8296    0.837 0.426 0.005  0.161 0.006
4750.0  4.5 -0.5 quadratic Kepler/Kepler.K    0.838   0.8457    0.853 0.415 0.005  0.162 0.006
4750.0  4.5 -0.5 quadratic Kepler/Kepler.K    0.854   0.8613    0.869 0.405 0.005  0.163 0.006
4750.0  4.5 -0.5 quadratic Kepler/Kepler.K     0.87   0.8774    0.885 0.401 0.005  0.163 0.007
4750.0  4.5 -0.5 quadratic Kepler/Kepler.K    0.886   0.8936    0.901 0.392 0.005  0.167 0.007
